Rate Plan	Pws cost	New Cost
SMC-VZW-PUBS-250MB	2.13	0.840820313
Daintree-TELUS-PN-750MB	13.28	
Microspace Communications (250Mb) :: VZWPublic :: (89) :: 250 MB	2.13	0.840820313
Indyme VZW 250MB :: 5091c749-e42b-48f6-9ba0-9100eeada8df	2.13	0.840820313
Power House VZW 250MB	2.13	0.840820313
Fazoli VZW 250MB :: 814a59df-9a7d-4ebf-9108-2caf97e4ce81	2.13	0.840820313
Fazoli's System Management :: VZWPublic :: (344) :: 250 MB	2.13	0.840820313
YAKAMA NATION :: VZWPublic :: (606) :: 250 MB	2.13	0.840820313
Black Star Ranch :: VZWPublic :: (646) :: 250 MB	2.13	0.840820313
COLUMBIA REACH :: VZWPublic :: (653) :: 250 MB	2.13	0.840820313
Olympic Orchards :: VZWPublic :: (656) :: 250 MB	2.13	0.840820313
Taylor Orchards :: VZWPublic :: (658) :: 250 MB	2.13	0.840820313
East Multnomah Soil & Water Conservation District :: VZWPublic :: (668) :: 250 MB	2.13	0.840820313
White Bear Orchard LLC :: VZWPublic :: (669) :: 250 MB	2.13	0.840820313
PikeRide VZW 250mb :: 75451126-24d7-49fd-9e0e-bded69632625	2.13	0.840820313
Bonney Lake 5970 Inc :: VZWPublic :: (682) :: 250 MB	2.13	0.840820313
Alaris_VZW_250_MB :: 73e7614b-3ad5-4bae-ba6e-373a08d0a400	2.13	0.840820313
Direct Importing Company-VF-DIA-5GB	34	
Capture H2O VZW 250MB	2.13	0.840820313
Combined Transport VZW 250mb :: b3f68a42-3737-462a-9005-0abe944a5236	2.13	0.840820313
Combined Transport Inc. :: VZWPublic :: (724) :: 250 MB	2.13	0.840820313
ImpactLED VZW 250MB :: e4880b0d-4201-4f37-8d15-b7fcf9b6d1a3	2.13	0.840820313
Sunfolding-VDF-DIA-1GB-WC1	57.45	
Qardio-TELUS-DIA-5GB	47.2	
Colorbent LLC-ATT-DIA-PPU	2.99	
CoWorkr VZW 250MB :: Public Dynamic ::	2.13	0.840820313
Carmanah Signs Inc-ATT-DIA-500MB	8	
Modus VZW Public 250MB 	2.13	0.840820313
BalTech Trucking VZW 250MB :: Public Dynamic ::	2.13	0.840820313
Automated Electric VZW PUBLIC 250MB	2.13	0.840820313
Nakanishi Dental VZW 250MB :: Public Static ::	2.13	0.840820313
Blue Sky Utility VZW :: Public Static :: 250MB	2.13	0.840820313
Truckspy VZW :: Public Dynamic :: 250MB	2.13	0.840820313
Carlisle Polyurethane VZW :: Public Static :: 250MB	2.13	0.840820313
NovaCharge-DEMO-ATT-DIA-1GB	25	
NovaCharge-DEMO-TMO-PUBS-1GB	25	
Ozone International-VZW-PUBD-250MB	2.13	0.840820313
Bulloch County Rural Telephone VZW :: Public Static :: 250MB	2.13	0.840820313
Bulloch County Rural Telephone VZW :: Public Dynamic :: 250MB	2.13	0.840820313
Dallas Zoo VZW DIA 250MB	2.13	0.840820313
Sonitrol-ATT-DIA-50MB	3.5	
M. O. Dion & Sons VZW :: Public Dynamic :: 250MB	2.13	0.840820313
Analog Devices-ATT-DIA-PPU	2.99	
Analog Devices-VDF-DIA-PPU-ROW1 :: 223b8b26-25e5-45eb-afb5-122569abe38b	1.25	
Analog Devices-VDF-DIA-PPU-WC1	1.25	
Fazoli VZW DIA 250MB	2.13	0.840820313
Fazoli VZW :: Public Dynamic :: 250MB	2.13	0.840820313
Advantage Controls :: VZW Public Static :: 250MB	2.13	0.840820313
Swiftmile VZW PN 250MB :: c3ae9455-e9f2-46ac-a49a-b3d9fac4d8c2	2.13	0.840820313
ZoneTap-VZW-PUBS-250MB	2.13	0.840820313
OBVIUS-VZW-PUBD-250MB	2.13	0.840820313
"Ameresco, Inc-VZW-PUBD-250MB"	2.13	0.840820313
AAA Fire Protection-VZW-PUBD-250MB	2.13	0.840820313
Volta-DEMO-TMO-DIA-1GB	25	
Swiftmile-VZW-PUBS-250MB-disabled :: 62bd77b6-d3cf-4cc8-9a89-dd180b1f83ae	2.13	0.840820313
TCS-VZW-PN-250MB	2.13	0.840820313
Heiberg Garbage-VZW-PUBS-250MB	2.13	0.840820313
PEMY Consulting-VZW-PUBS-250MB	2.13	0.840820313
Wendell & Karen Stephens-VZW-PUBD-250MB	2.13	0.840820313
Tony ATT Demo	30	
H.M. Clause-VZW-PUBD-250MB	2.13	0.840820313
Phoenix Renewable-VZW-PUBS-250MB	2.13	0.840820313
Digital Fleet-VZW-PUBD-250MB	2.13	0.840820313
Datawrx-VZW-PUBD-250MB	2.13	0.840820313
AMERIPRISE-VZW-PUBS-250MB	2.09	0.840820313
Greenlots VZW DIA 200MB :: b7ea6848-888e-42dc-a21d-0ad5a1665b22	1.8	0.72265625
Greenlots :: VZWPublic :: (518) :: 200 MB :: 0c61092c-5860-4407-956e-6e0d37e8fd1e	1.8	0.72265625
PrimoWind::VZWPublic::200MB	1.8	0.72265625
Secured Moblility-PWS-VZW-PUBD-200MB	1.8	0.72265625
Sunset Restaurant-VZW-PUBD-200MB	1.8	0.72265625
Sunworks United-VZW-PUBS-200MB	1.8	0.72265625
Applied Motion Systems (AMS) :: VZWPublic :: (399) :: 150 MB	1.48	0.604492188
BONANZA :: VZWPublic :: (327) :: 150 MB	1.48	0.604492188
PSF INDUSTRIES :: VZWPublic :: (5) :: 150 MB	1.48	0.604492188
SYNCROMATICS :: VZWPublic :: (476) :: 150 MB	1.48	0.604492188
Pacific VZW 150MB	1.48	0.604492188
ZPE-Systems-ATT-DIA-PPU	3	
ZPE-Systems-TMO-DIA-PPU	0.5	
Grand Central Bakery :: VZWPublic :: (663) :: 150 MB	1.48	0.604492188
"Chowbotics, Inc.-VDF-DIA-NA-1GB"	12.8	
Alaris_VZW_150Mb :: 62c508e6-df14-4442-9ec6-a7f265dd9f0d	1.48	0.604492188
Aqua Metrology Systems-VDF-DIA-25MB	1.2	
Navigator Networks :: Public Static :: 150MB	1.48	0.604492188
Dallas Zoo VZW DIA 150MB	1.48	0.604492188
Rhombus-VZW-PUBD-150MB	1.48	0.604492188
Dexterity-TMO-PUBS-250MB	3	
Sunworks-VZW-PUBD-150MB	1.48	0.604492188
Qardio-DEMO-VDF-DIA-1GB-NA	125	
Filld Inc-VZW-PUBD-150MB	1.48	0.604492188
Sunworks-VZW-PUBS-150MB	1.48	0.604492188
 Hornblower-VZW-PUBD-500MB-IPHONE	2.25	1.431640625
Island Commuter Corp-VZW-DIA-500MB	2.25	1.431640625
Ariontech-VZW-PUBD-500MB	2.25	1.431640625
Refrigeration Supplies Distributor-VZW-PUBD-500MB	2.25	1.431640625
International Electron-VZW-PUBD-500MB	2.25	1.431640625
Joe Meduri-VZW-PUBS-10GB	25.25	24.45
ioCurrent VZW 100MB	1.15	0.486328125
BCYCLE VZW 100MB	1.15	0.486328125
CaptiveAire VZW DIA 100MB	1.15	0.486328125
Prospera VZW 100MB	1.15	0.486328125
MeLink VZW 100MB	1.15	0.486328125
EKM VZW DEMO :: 9adb8acf-4b1e-4db1-98b0-4eb1e657e00d	1.15	0.486328125
ISERVGROUP :: VZWPublic :: (256) :: 100 MB	1.15	0.486328125
PRODUCTRECOVERY :: VZWPublic :: (243) :: 100 MB	1.15	0.486328125
Fenton_VZW_100MB	1.15	0.486328125
Salient VZW 100MB	1.15	0.486328125
Logic Beach :: VZWPublic :: (736) :: 100 MB	1.15	0.486328125
21Century VZWDIA 100MB	1.15	0.486328125
Swiftmile-VDF-DIA-10MB-WC1	2	
Volly :: VZWPublicStatic :: 100MB	1.15	0.486328125
Cello Lighting-VZW-PUBS-100MB	1.15	0.486328125
Miller Ingenuity VZW DIA 100MB	1.15	0.486328125
NovaCharge-TMO-PUBS-PPU	0.5	
Ozone International-VZW-PUBD-100MB	1.15	0.486328125
NovaCharge-ATT-PN-PPU	2.99	
Intellihot VZW :: Public Static :: 100MB	1.15	0.486328125
Ranch Systems-VZW-PUBD-100MB :: 9d16d2e6-f48e-4bdc-bb1a-3092b6f4ae12	1.15	0.486328125
Action Development Corporation-VZW-PUBD-100MB	1.15	0.486328125
TCS VZW 75MB :: 24e8121b-a937-4f6f-a6a0-4e6a1e492962	0.99	0.427246094
Ventek VZW 50MB  :: 5ce96121-fb34-4c33-9d85-d403aec57244	0.83	0.368164063
Precision Asset Tracking-TMO-PUBD-PPU	0.5	
Telesense VZW 50MB :: 678df16c-9cda-400c-93ce-e91f7e6527aa	0.83	0.368164063
ARCA :: VZWPublic :: (50) :: 50 MB	0.83	0.368164063
ERIKS 3 BEAUTIFUL :: VZWPublic :: (506) :: 50 MB	0.83	0.368164063
ERIKS APP N OUT :: VZWPublic :: (505) :: 50 MB	0.83	0.368164063
ERIKS DELI :: VZWPublic :: (426) :: 50 MB	0.83	0.368164063
Parcel Pending-VDF-PUBD-1GB-NA	11.15	
ERIKS DJ DELI :: VZWPublic :: (479) :: 50 MB	0.83	0.368164063
ERIKS EDISON :: VZWPublic :: (503) :: 50 MB	0.83	0.368164063
ERIKS FESTIVUS :: VZWPublic :: (513) :: 50 MB	0.83	0.368164063
ERIKS FRANK :: VZWPublic :: (515) :: 50 MB	0.83	0.368164063
ERIKS GILROY :: VZWPublic :: (465) :: 50 MB	0.83	0.368164063
ERIKS JD ORTIZ :: VZWPublic :: (490) :: 50 MB	0.83	0.368164063
SensoScientific-ATT-DIA-1GB	8	
TKABE Technologies-ATT-DIA-1GB	8	
ERIKS MH2DELI :: VZWPublic :: (492) :: 50 MB	0.83	0.368164063
ERIKS PON DI :: VZWPublic :: (512) :: 50 MB	0.83	0.368164063
ERIKS ROSEVILLE :: VZWPublic :: (477) :: 50 MB	0.83	0.368164063
Devicebook-DEMO-ATT-DIA-1GB	25	
Name: Greenlots-TMO-PN-200MB :: 50b16901-0c8d-439a-b992-e42b916532f6	2.5	
Nebbiolo-ATT-DIA-5GB	30	
ERIKS TIMILIE :: VZWPublic :: (504) :: 50 MB	0.83	0.368164063
ERIKS TUNG TI :: VZWPublic :: (507) :: 50 MB	0.83	0.368164063
GRESHAM :: VZWPublic :: (423) :: 50 MB	0.83	0.368164063
Heiberg Garbage-VZW-PUBS-50MB	0.83	0.368164063
PASSPORT HEALTH :: VZWPublic :: (405) :: 50 MB	0.83	0.368164063
SEATTLESURGERY :: VZWPublic :: (287) :: 50 MB	0.83	0.368164063
Sonitrol-VZW-PUBD-50MB	0.83	0.368164063
WALLACEPROPERTIES :: VZWPublic :: (109) :: 50 MB	0.83	0.368164063
Reserve Golf Club-TMO-PUBD-PPU	0.5	
10 BARREL :: VZWPublic :: (556) :: 50 MB	0.83	0.368164063
CompuMed VZW 50MB	0.83	0.368164063
ERIKS GDSIS :: VZWPublic :: (571) :: 50 MB	0.83	0.368164063
Bi-Rite VZW 50MB :: 65684334-17a6-4d12-91cf-954777f50175	0.83	0.368164063
"Intellihot, Inc-TELUS-DIA-100MB"	7.5	
Bi-Rite :: VZWPublic :: (720) :: 50 MB	0.83	0.368164063
Alaris_VZW_50MB :: a1bf9350-7fc5-4c6e-b7c8-a3d6980559a1	0.83	0.368164063
AgriPower_VZW_50MB	0.83	0.368164063
Blackline Safety VZW PN 50MB	0.83	0.368164063
21 Century VZW DIA 50MB	0.83	0.368164063
Talis Biomedical-VZW-PUBD-50MB	0.82	0.368164063
Industrial Logic Systems-ATT-DIA-20GB	95	
V5 Systems-DEMO-ATT-1GB	8	
GatewayTaxi_VZW_40MB	0.76	0.34453125
Neil Hurley-ATT-DIA-1GB	8	
Ramco Properties LP-VZW-PUBS-250MB	1.25	0.840820313
Mi Tiendita-VZW-PUBS-250MB	1.25	0.840820313
Hornblower-VDF-PUBD-500MB-VF-ONLY-INUK-1NET-T1	8	
A&E Security-TMO-PUBS-20GB	90	
Envirosmarts-VZW-PUBS-250MB	1.25	0.840820313
Dylan Phillips-ATT-DIA-5GB	30	
HAGE Automotive-VZW-PUBS-250MB	1.25	0.840820313
Italiani Shirlington-VZW-DIA-250MB	1.25	0.840820313
Mynt Systems-DEMO-SWIR-DIA-1GB	75	
"Turntide-VZW-PUBS-250MB	"	1.25	0.840820313
DG Development-ATT-DIA-5GB	30	
Panevo-VZW-PUBD-250MB	1.25	0.840820313
AES-Merged-NSA-VZW-PUBD-250MB	1.25	0.840820313
SwiftMile-VZW-PUBS-250MB	1.25	0.840820313
Pacific Union Company-VZW-PUBS-250MB	1.25	0.840820313
"Medi-Lynx Cardiac Monitoring, LLC-VZW-DIA-250MB"	1.25	0.840820313
"A.J.Kirkwood & Associates, Inc.-VZW-PUBD-250MB"	1.25	0.840820313
COI Energy-VZW-PUBS-250MB	1.25	0.840820313
SensoScientific VZW DIA 30MB	0.7	0.320898438
ADV CONTROLS VZW 30MB :: 8e6a667b-1e86-4bd9-8997-a3bbca83e415	0.7	0.320898438
Advantage Controls :: VZWPublic :: (339) :: 30 MB	0.7	0.320898438
Sequoyah VZW 25MB :: a1f46b95-aae6-427e-a848-7b70e9e2e94b	0.67	0.309082031
Jolly Road Productions :: VZWPublic :: (107) :: 25 MB	0.67	0.309082031
Ventek VZW 25MB :: b562e2fd-6152-4e06-8e5d-ef72da2e4b24	0.67	0.309082031
ANURACO :: VZWPublic :: (407) :: 25 MB	0.67	0.309082031
AVALOSBIZ :: VZWPublic :: (486) :: 25 MB	0.67	0.309082031
CLARIONHOTEL :: VZWPublic :: (329) :: 25 MB	0.67	0.309082031
ECCOMANUFACTURING :: VZWPublic :: (341) :: 25 MB	0.67	0.309082031
HANLEYCONST :: VZWPublic :: (130) :: 25 MB	0.67	0.309082031
IDAHO WATER :: VZWPublic :: (424) :: 25 MB	0.67	0.309082031
JPC ARCHITECT :: VZWPublic :: (401) :: 25 MB	0.67	0.309082031
MANAGED RELIABILITY :: VZWPublic :: (242) :: 25 MB	0.67	0.309082031
NATIONALBRAILLE :: VZWPublic :: (132) :: 25 MB	0.67	0.309082031
PRESCIDIO :: VZWPublic :: (422) :: 25 MB	0.67	0.309082031
Rail Management Services-ATT-DIA-1GB	8	
RETAILTECH :: VZWPublic :: (461) :: 25 MB	0.67	0.309082031
SEATAC :: VZWPublic :: (66) :: 25 MB	0.67	0.309082031
SYLVANARCHERS :: VZWPublic :: (19) :: 25 MB	0.67	0.309082031
WILLOW ROCK :: VZWPublic :: (372) :: 25 MB	0.67	0.309082031
XPRESSTRUCK :: VZWPublic :: (176) :: 25 MB	0.67	0.309082031
VCE VZW 25MB :: 095678a3-58d4-476f-84c1-56563c6307dc	0.67	0.309082031
CoWorkr-VDF-PUBD-250MB-WC1	1.25	
VCE Inc :: VZWPublic :: (583) :: 25 MB	0.67	0.309082031
Boomerang VZW 25MB :: d5dfbcdd-10bb-4bac-9614-ec3b09fba024	0.67	0.309082031
Arable VZW PUBD 25MB	0.67	0.309082031
Sierra Controls-VZW-PN-25MB	0.67	0.309082031
Creative Security Company-ATT-PUBD-1GB	8	
R-Zero Systems-VZW-PUBD-25MB	0.66	0.309082031
NeuroPace Inc-VZW-PUBD-25MB	0.66	0.309082031
Voltus VZW DIA 20MB :: c08e56c5-4427-40e9-9b06-3a60fd1ac3fa	0.63	0.297265625
Pit Stop :: VZW Public Dynamic :: 20MB	0.63	0.297265625
Town of Stowe Electric-VZW-PUBD-200MB	1.04	0.72265625
GSV VZW 15MB :: 1b1282c0-02ec-41e9-8b7d-94af094168c3	0.6	0.285449219
Tony VZW Demo	0.57	0.273632813
OnTrak_10MB_VZW	0.57	0.273632813
Swiftmile-VZW-PN-10MB-PPU	0.57	0.273632813
SwiftMile :: VZWPublic :: 10MB	0.57	0.273632813
Demo University Security Systems VZW 10MB	0.57	0.273632813
agriMeasures VZW DIA 10MB	0.57	0.273632813
Skycentrics-VZW-PUBD-5MB	0.55	0.261816406
SunMan VZW 5MB :: ceba9d71-a40b-4d8f-9f44-98ca4650aa0c	0.54	0.261816406
Clevest VZW 5MB	0.54	0.261816406
Ventek VZW 5MB :: e15946b8-f57c-42ad-9031-03d6b78732fb	0.54	0.261816406
Ventek :: VZWPublic :: (622) :: 5 MB :: b164cce0-b5e0-4353-b8cc-898731d1f9e4	0.54	0.261816406
Brower VZW Demo :: 83cfec72-36a0-4825-8223-3f7aaf9f7269	0.54	0.261816406
AgTerra VZW 5MB	0.54	0.261816406
Impulse VZW DIA 5MB	0.54	0.261816406
Impulse Industries :: VZWPublic :: (460) :: 5 MB	0.54	0.261816406
RG3 Meter VZW 5MB :: e614958b-f3c6-45b9-8014-b720d99d9575	0.54	0.261816406
NATIONALSIGNAL :: VZWPublic :: (54) :: 5 MB	0.54	0.261816406
TCIC Inc. :: VZWPublic :: (223) :: 5 MB	0.54	0.261816406
Electrotechnics Corp-VF-WC1-DIA-1MB	0.34	
Electrotechnics Corp-ATT-DIA-5MB	2.5	
"Chowbotics, Inc.-ATT-DIA-150MB"	4.5	
WIRELESSWORKFLOW :: VZWPublic :: (338) :: 5 MB	0.54	0.261816406
Galaxy Consulting VZW 5MB :: 8d1ff200-a267-46c0-8fa5-52e5fa1d14c7	0.54	0.261816406
Galaxy Consulting VZW 5MB (N) :: 9fc6d5e2-6f49-43cb-a8ea-b9772da145e3	0.54	0.261816406
IRD VZW 5MB :: 4bc9b717-7d39-482c-a9ca-6709644a5c4d	0.54	0.261816406
NovaCharge-TMO-PN-PPU	0.5	
CDWare VZW 5MB	0.54	0.261816406
Scoot VZW 5MB	0.54	0.261816406
Razor VZW 5MB :: 1b3b3e58-ba3f-4c3d-ad14-0e668f60b4ba	0.54	0.261816406
Cobalt Robotics-VDF-PUBD-5GB-WCI-JPN	209.8	
Applocation_VZW_5MB	0.54	0.261816406
Ojo VZW 5MB :: d344dd4e-e6b9-46d1-94ef-cdf9ca72221e	0.54	0.261816406
Industrack VZW 5MB - Allow SMS :: c49bf870-d1b8-45d0-9680-8999879e2b32	0.54	0.261816406
Ranch Systems-VZW-PUBD-5MB-OLD :: bb2800e8-f5e7-49a1-ad0a-299795880c9b	0.54	0.261816406
Arable VZW Open DIA 5MB	0.54	0.261816406
"NeuroPace, Inc-VZW-PUBD-5MB"	0.54	0.261816406
DOR VZW 3MB	0.53	0.257089844
DOR :: VZWPublic :: (tbd) :: 3 MB	0.53	0.257089844
See Water VZW 3MB	0.53	0.257089844
Industrack VZW 3MB - Allow SMS	0.53	0.257089844
Skycentrics-VZW-PN-5MB	0.53	0.261816406
Graham Porter-VZW-PUBD-5MB	0.53	0.261816406
Podsystems VZW 2MB	0.52	0.254726563
NextBus VZW 2MB	0.52	0.254726563
NextBus :: VZWPublic :: (300) :: 2 MB	0.52	0.254726563
Hornblower-ATT-DIA-PPU.pdf	2.99	
TVU VZW 2MB	0.52	0.254726563
Glacier VZW 2MB :: 94370861-fd9e-4bc2-bd2f-e8aab5ce5dd1	0.52	0.254726563
Glacier :: VZWPublic :: (312) :: 2 MB	0.52	0.254726563
Chris Knight-NSA-ATT-DIA-10GB	50	
DOR VZW 2MB Demo :: e08ab2b8-0cf8-4299-ae92-54bc61f1fe0d	0.52	0.254726563
DOR VZW 2MB	0.52	0.254726563
RR Rentals 2MB Demo :: eeceef51-f7b1-43bf-97b0-51e4a28a65ad	0.52	0.254726563
Clevest VZW 2MB	0.52	0.254726563
GTG VZW 2MB :: 21595a0e-c258-40a9-93ee-997da3497284	0.52	0.254726563
Frealz :: VZWPublic :: (168) :: 2 MB	0.52	0.254726563
MALAGABANK :: VZWPublic :: (91) :: 2 MB	0.52	0.254726563
PROJECTWORKS :: VZWPublic :: (498) :: 2 MB	0.52	0.254726563
PWS :: VZWPublic :: (502) :: 2 MB	0.52	0.254726563
Riivet-ATT-DIA-10GB	60	
Riivet-TMO-DIA-10GB	50	
VIBRONICS :: VZWPublic :: (175) :: 2 MB	0.52	0.254726563
WHITEINDUSTRIAL :: VZWPublic :: (268) :: 2 MB	0.52	0.254726563
CONCRETESOL :: VZWPublic :: (568) :: 2 MB	0.52	0.254726563
Exide Technologies VZW DIA PPU	0.5	0.25
Hornblower-ATT-DIA-100GB	475	
F3-DEMO-ATT-DIA-1GB	8	
Exide Technologies VZW PPU :: Public Static ::	0.5	0.25
Doordash VZW PPU	0.5	0.25
Nebbiolo :: VZWPublic :: (230) :: 0 Bytes :: 089ddd94-549b-4fdf-9f86-1b5870c1e9bd	0.5	0.25
Quidel VZW PPU	0.5	0.25
Postmates VZW DIA PPU	0.5	0.25
Engie - Opterra VZW PN PPU	0.5	0.25
Swiftmile-VDF-DIA-5GB-ROW-H1	35.72	
ClearEdge Wireless-ATT-DIA-PPU	2.99	
ENGIE SERVICES U.S. INC. :: VZWPublic :: (721) :: 0 Bytes	0.5	0.25
ADVANTAGE CONTROLS :: VZWPublic :: (435) :: 0 Bytes	0.5	0.25
BCycle-NSA-ATT-DIA-750MB	8	
PWS :: VZWPublic :: (620) :: 0 Bytes	0.5	0.25
PWSTEST :: VZWPublic :: (145) :: 0 Bytes	0.5	0.25
RESERVED :: VZWPublic :: (519) :: 0 Bytes	0.5	0.25
SIERRA WIRELESS :: VZWPublic :: (324) :: 0 Bytes	0.5	0.25
Sciton VZW DIA PPU	0.5	0.25
Cybertools VZW Failover PPU :: Public Dynamic ::	0.5	0.25
LIFESOURCE :: VZWPublic :: (554) :: 0 Bytes	0.5	0.25
iRhythm VZW PPU :: ba4b3cce-7478-4403-9194-4f588e752fd2	0.5	0.25
Pacific Cascade Distribution :: VZWPublic :: (633) :: 0 Bytes	0.5	0.25
Aaeon VZW PPU	0.5	0.25
SATELLITE DINER :: VZWPublic :: (643) :: 0 Bytes	0.5	0.25
Marine View Ventures :: VZWPublic :: (652) :: 0 Bytes	0.5	0.25
"La Linea Furioso, LLC (Furioso Vineyards) :: VZWPublic :: (711) :: 0 Bytes"	0.5	0.25
Razor VZW 1MB	0.5	0.25
InnovativeAdvantage_VZW_PPU	0.5	0.25
Life Fitness VZW Demo	0.5	0.25
Pokemon-DEMO-ATT-DIA-1GB	8	
Microspace Communications (PPU) :: VZW Static :: (0GB) PPU :: b3cb6f8c-4954-4e5c-a021-fbbb6c8a873b	0.5	0.25
ThinkSign VZW :: Public Static :: PPU	0.5	0.25
Cleaver Brooks VZW DIA PPU	0.5	0.25
Waterpoint VZW :: Public Dynamic :: PPU	0.5	0.25
Envirosmarts-TMO-PUBS-250MB	3	
Postmates VZW PN PPU :: f881d31b-e34a-4d0d-80c2-dc4e2f165d02	0.5	0.25
ZPE Systems-VZW-PUBD-PPU	0.5	0.25
 Postmates-VZW-PN-PPU	0.5	0.25
"NAD Grid Corp, DBA ampUp-ATT-DIA-PPU"	2.99	
Five Stars :: VZW Public Dynamic :: PPU	0.5	0.25
511 Technologies-VZW-DIA-PPU	0.5	0.25
KMARTIN INC.-VZW-PUBD-PPU	0.5	0.25
"NAD Grid Corp, dba ampUp-TLS-DIA-100MB"	7.25	
CET Energy Solutions-VZW-PUBD-PPU	0.5	0.25
OWR Mechanical-ATT-PUBD-100GB	475	
BCycle Waterloo-VZW-DIA-PPU	0.5	0.25
Greenlots-TMO-PUBS-PPU-RR	1	
Greenlots-TMO-DIA-PPU-RR	1	
Ventek-VZW-PUBD-PPU	0.5	0.25
Ventek-VZW-DIA-PPU	0.5	0.25
Ventek-VZW-PUBS-PPU	0.5	0.25
Daintree-VZW-PUBS-PPU	0.5	0.25
"NAD Grid Corp, DBA ampUp-VZW-PUBD-PPU"	0.5	0.25
Colorbent LLC-VZW-PUBS-PPU	0.5	0.25
"Precision Alarms & Automation Solutions, Inc-ATT-PUBD-1GB"	8	
ZPE-Systems-VZW-PUBD-PPU-SMS	0.5	0.25
American Virtual Monitoring-ATT-PUBD-5GB	30	
Analog Devices-VZW-PUBD-PPU	0.5	0.25
Clover Health-VZW-PUBD-PPU	0.5	0.25
NovaCharge-VZW-PUBS-PPU	0.5	0.25
Dustin Betterly-VZW-PUBS-PPU	0.5	0.25
Carmanah Signs VZW Demo :: f60be5ee-a691-4840-bb95-6fc7325f4d9f	0.5	0.250002308
Podsystems VZW 1MB	0.5	0.252363281
Sprocket :: VZWPublic :: (18) :: 1 MB	0.5	0.252363281
First Fleet 1MB	0.5	0.252363281
Ventek International-ATT-DIA-PPU	2.99	
First Fleet VZW 1MB	0.5	0.252363281
PWS VZW DEMO 	0.5	0.252363281
Pepsi Demo Rate Plan	0.5	0.252363281
Greenlots-ATT-DIA-PPU-RR	0.19	
ClearEdge Wireless LLC-TMO-DIA-PPU	1	
Rajant Corporation-ATT-DIA-PPU	2.99	
AB VZW 1MB 	0.5	0.252363281
Minnesota Equip VZW 1MB	0.5	0.252363281
Fresenius VZW 1MB :: 9a882221-6d9c-40cf-8c2e-899228f755f2	0.5	0.252363281
"Exhibit People, LLC-ATT-PUBD-5GB"	30	
Glacier VZW 1MB :: 96ad6aa2-0a37-463a-8499-18df652dd1ef	0.5	0.252363281
EXS VZW 1MB :: 1a8d85dd-1a65-4232-bb04-cbd43a2514d7	0.5	0.252363281
Demo VZW 1MB	0.5	0.252363281
Gary Demo - 1MB 30 DAY DEMO :: bd9ec3f3-a448-471e-a765-bbe379b4fd62	0.5	0.252363281
TN Valley Ive - 1MB 90 DAY DEMO :: 48a6ef45-4f97-4a1b-bc3d-e7829314de6b	0.5	0.252363281
RRG VZW 1MB :: 7b84b3d6-c20d-4d18-a27c-ebf9d08e48a1	0.5	0.252363281
True VZW 1MB Demo :: 93cff002-c8c5-44d4-a96e-42a49e26e458	0.5	0.252363281
True VZW 1MB :: 954376e7-e6a0-4a79-9497-2cd0b25b4e2d	0.5	0.252363281
Eng Sol VZW 1MB	0.5	0.252363281
STRYTEN-VDF-PN-PPU-RR	0.2	
Fresenius VZW 1MB Demo 	0.5	0.252363281
"MonoLets, Inc.-ATT-DIA-PPU"	2.99	
Crystal Valley VZW 1MB	0.5	0.252363281
ioCurrent VZW 1MB :: a6f03df4-366b-4894-90da-960b52ccb3de	0.5	0.252363281
Panevo-ATT-PUBD-250MB	5.49	
Doordash :: VZWPublic :: (tbd) :: 1 GB	0.5	0.252363281
Dealers1 VZW 1MB :: 2aa0a2fd-4700-4b25-9437-a6f537468af8	0.5	0.252363281
Ventek VZW 1MB :: 8b6e132d-6677-485a-bc13-bf373b1e7e66	0.5	0.252363281
Sales Demo VZW :: d0dcc102-c2bc-45a2-89e9-9665b82f9dce	0.5	0.252363281
SonDi 1MB VZW :: 17681770-0a8b-4ea9-ad17-4a4cbdfa43a1	0.5	0.252363281
"Worksite Labs, Inc.-ATT-PUBD-50GB"	237.5	
De-Activated VZW	0.5	0.252363281
Flagship Demo :: 8be086ca-893f-4a80-a613-34e497428087	0.5	0.252363281
Voltus VZW Demo :: 27a6e5da-6d42-44d6-af8a-f9e67f9ec46b	0.5	0.252363281
"TCS Basys Controls, Inc.-VDF-PN-100MB-All Carriers - World Countries 1"	14	
"TCS Basys Controls, Inc.-VDF-PN-100MB-2 Carriers - World Countries 1"	8	
ATT Activations Testing	60	
Quidel VZW Demo :: 68f77567-9d7d-4751-89ea-8ff99f7818c2	0.5	0.252363281
Quidel VZW 1MB :: 707749ed-bb9e-4cd5-a68a-5c31075e3089	0.5	0.252363281
Towerview Health :: VZWPublic :: (253) :: 1 MB	0.5	0.252363281
Melink Corporation-ATT-DIA-PPU	2.99	
OpenDoor VZW DEMO	0.5	0.252363281
FEA DEMO PLAN	0.5	0.252363281
Cobalt Robotics-VDF-PUBD-5GB-North America CA/US/MX	59.8	
Waterbit VZW 1MB :: 75fc3c4c-498c-40cf-94a6-9ff8a9365d6f	0.5	0.252363281
Volta Charging LLC-TMO-DIA-4GB	25	
Mist VZW 1MB :: 0219bd56-a4e2-463b-b3a6-619d0fe05cda	0.5	0.252363281
Phrame VZW Demo :: c9666e5b-4d91-450a-bef3-4ee9f61ac0cf	0.5	0.252363281
Yelp VZW Demo :: 7e22b742-846d-4e36-8c3f-a58d5bd67f96	0.5	0.252363281
